Description,Vendor_Name,Created,Invoice_Date,Due_Date,Amount,Settled,Outstanding,Number_of_Days_until_Payment
,Ms. Rebecca Drake MD,11-02-2015 11:02,11-Feb-15,13-Mar-15,381.98,381.98,0.0,12
,Sherri Bennett,11-02-2015 12:33,11-Feb-15,13-Mar-15,133.98,133.98,0.0,7
,Diane Higgins,11-02-2015 14:12,26-Jan-15,23-Feb-15,73.98,73.98,0.0,58
,Eric Cohen,11-02-2015 15:06,11-Feb-15,25-Feb-15,337.98,337.98,0.0,19
,Diane Higgins,11-02-2015 15:31,28-Jan-15,25-Feb-15,73.98,73.98,0.0,56
,Steven Gardner,12-02-2015 12:30,12-Feb-15,14-Mar-15,349.98,349.98,0.0,42
,Lauren White,12-02-2015 13:08,02-Feb-15,16-Feb-15,5041.98,5041.98,0.0,21
,Ms. Rebecca Drake MD,12-02-2015 13:45,12-Feb-15,14-Mar-15,421.98,421.98,0.0,11
Breakfast meeting 17.03.16,Catherine Garcia,12-02-2015 14:11,12-Feb-15,20-Feb-15,3371.58,3371.58,0.0,8
iStock subscription,Courtney Fry,12-02-2015 14:11,10-Feb-15,12-Mar-15,117.17,117.17,0.0,69
,Amanda Gardner,12-02-2015 14:14,10-Feb-15,12-Mar-15,68.69,68.69,0.0,31
Fuel,Catherine Garcia,12-02-2015 14:24,10-Mar-15,09-Apr-15,7864.38,7864.38,0.0,13
,Janice Cole,12-02-2015 14:29,01-Dec-14,31-Dec-14,201.98,41.98,160.0,73
,David Patton,12-02-2015 14:30,12-Feb-15,19-Feb-15,61.98,61.98,0.0,26
,Michelle Lawrence,12-02-2015 16:20,01-Dec-14,31-Dec-14,76.98,76.98,0.0,88
Studio heating,Kristen Scott,12-02-2015 22:36,12-Feb-15,15-Feb-15,111.67,109.58,2.09,19
,Rodney Campbell,13-02-2015 09:24,13-Feb-15,15-Mar-15,451.03,448.15,2.88,76
,Jerry Cox,13-02-2015 10:01,12-Feb-15,14-Mar-15,77.13,77.13,0.0,48
,Jennifer Griffin,13-02-2015 11:52,13-Feb-15,15-Mar-15,217.98,217.98,0.0,60
,Bobby Taylor,13-02-2015 14:44,12-Feb-15,31-Mar-15,815.58,815.58,0.0,63
,Kathy Perez,13-02-2015 15:00,16-Feb-15,31-Mar-15,325.02,325.02,0.0,44
,Diane Higgins,13-02-2015 23:27,03-Feb-15,03-Mar-15,409.98,409.98,0.0,50
,Diane Higgins,13-02-2015 23:38,06-Feb-15,06-Mar-15,229.98,229.98,0.0,47
,Diane Higgins,14-02-2015 00:20,04-Feb-15,04-Mar-15,151.98,151.98,0.0,49
,Nathan Rocha,16-02-2015 09:19,13-Feb-15,15-Mar-15,127.75,127.75,0.0,76
,Nathan Rocha,16-02-2015 09:20,13-Feb-15,15-Mar-15,79.98,79.98,0.0,76
Annual Fee,Cameron Garcia,16-02-2015 09:36,13-Feb-15,15-Mar-15,11.77,11.77,0.0,56
,Edward Mayo,16-02-2015 09:54,07-Feb-15,21-Feb-15,45.18,45.18,0.0,23
,Joshua Jackson,16-02-2015 09:54,16-Feb-15,02-Mar-15,31.98,31.98,0.0,21
,Meagan Davis,16-02-2015 09:54,02-Feb-15,17-Feb-15,31.98,31.98,0.0,35
,David Dawson,16-02-2015 09:55,27-Jan-15,10-Feb-15,601.98,601.98,0.0,20
,Katie Wilson,16-02-2015 09:55,30-Jan-15,13-Feb-15,61.98,61.98,0.0,48
May ink,John Hayes,16-02-2015 11:27,16-Feb-15,18-Mar-15,3001.98,3001.98,0.0,73
,Thomas Dominguez,16-02-2015 12:22,07-Feb-15,09-Mar-15,64.98,64.98,0.0,43
,Barbara Carrillo MD,16-02-2015 13:05,16-Feb-15,18-Mar-15,6300.06,6300.06,0.0,74
,David Patton,16-02-2015 13:08,16-Feb-15,23-Feb-15,631.98,631.98,0.0,22
,Joseph Decker,16-02-2015 18:23,16-Feb-15,02-Mar-15,251.47,251.47,0.0,7
,Shirley Cervantes,16-02-2015 18:28,16-Feb-15,02-Mar-15,177.08,177.08,0.0,7
,Angel Harris,16-02-2015 19:18,16-Feb-15,23-Feb-15,181.98,181.98,0.0,24
,Isaac Perez,16-02-2015 19:27,16-Feb-15,23-Feb-15,284.28,284.28,0.0,29
,Courtney Wilson,16-02-2015 19:38,16-Feb-15,23-Feb-15,173.88,173.88,0.0,87
,Jade Sparks,16-02-2015 20:21,16-Feb-15,18-Mar-15,6136.02,6136.02,0.0,36
Studio heating,Jessica Hansen,16-02-2015 21:00,16-Feb-15,02-Mar-15,111.98,111.98,0.0,7
,Sean Richards,16-02-2015 22:29,16-Feb-15,02-Mar-15,262.21,262.21,0.0,8
Studio heating,Susan Pacheco,16-02-2015 22:31,16-Feb-15,02-Mar-15,112.75,112.75,0.0,7
,Heather Palmer,16-02-2015 22:36,16-Feb-15,02-Mar-15,182.17,182.17,0.0,7
,Thomas Trujillo,17-02-2015 12:05,15-Feb-15,17-Mar-15,1345.98,1345.98,0.0,37
,Allen Brown,17-02-2015 14:21,11-Feb-15,12-Apr-15,45.18,45.18,0.0,104
,Joseph Cortez,17-02-2015 14:27,17-Feb-15,03-Mar-15,1513.98,1513.98,0.0,38
,Katherine Smith,17-02-2015 14:58,16-Feb-15,18-Mar-15,102.66,102.66,0.0,39
,Rachel Chapman,17-02-2015 15:13,16-Feb-15,18-Mar-15,72.28,72.28,0.0,63
,Gail Holloway,17-02-2015 15:16,11-Feb-15,13-Mar-15,215.28,215.28,0.0,30
,Diane Higgins,17-02-2015 23:42,10-Feb-15,10-Mar-15,697.98,697.98,0.0,43
,Diane Higgins,17-02-2015 23:53,09-Feb-15,09-Mar-15,133.98,133.98,0.0,44
,Diane Higgins,17-02-2015 23:54,09-Feb-15,09-Mar-15,181.98,181.98,0.0,44
,Diane Higgins,18-02-2015 00:16,13-Feb-15,13-Mar-15,229.98,229.98,0.0,40
,Tyler Roberts,18-02-2015 08:48,18-Feb-15,20-Mar-15,1054.98,1054.98,0.0,13
,Wesley Snyder,18-02-2015 13:43,17-Feb-15,19-Mar-15,37.89,37.89,0.0,52
Bank Charges,Peter Sosa,18-02-2015 13:55,17-Feb-15,19-Mar-15,34.66,34.66,0.0,38
,Christine Ferguson,18-02-2015 14:21,17-Feb-15,19-Mar-15,23.5,23.5,0.0,57
,Amanda Gardner,18-02-2015 14:22,17-Feb-15,19-Mar-15,31.04,31.04,0.0,24
,Cindy Lewis,18-02-2015 14:38,17-Feb-15,19-Mar-15,130.68,130.68,0.0,69
,Sandra Charles,18-02-2015 14:39,17-Feb-15,19-Mar-15,103.99,63.92,40.07,45
,Gerald Johnson,18-02-2015 16:05,18-Feb-15,20-Mar-15,781.98,781.98,0.0,72
Web Design & Consulting,Stefanie Bryant,18-02-2015 16:49,18-Feb-15,20-Mar-15,1321.98,1321.98,0.0,2
,Barbara Montgomery,18-02-2015 23:31,18-Feb-15,25-Feb-15,499.98,499.98,0.0,23
,Ralph West,19-02-2015 07:52,19-Feb-15,21-Mar-15,2561.99,2561.99,0.0,9
,Nathan Rocha,19-02-2015 12:14,18-Feb-15,20-Mar-15,29.54,29.54,0.0,71
,Eric Ewing,19-02-2015 17:02,06-Feb-15,08-Mar-15,70.13,69.97,0.16,33
,Eric Ewing,19-02-2015 17:02,06-Feb-15,08-Mar-15,70.13,2.03,68.1,103
Freight,Kristen Scott,19-02-2015 23:31,19-Feb-15,20-Feb-15,96.71,95.21,1.5,28
,Tanya Hooper,20-02-2015 08:39,31-Jan-15,15-Feb-15,876.76,876.76,0.0,65
,Wesley Snyder,20-02-2015 09:34,19-Feb-15,21-Mar-15,103.09,103.09,0.0,50
,Barry Miller,20-02-2015 09:58,18-Feb-15,20-Mar-15,234.67,234.67,0.0,56
,Jennifer Strickland,20-02-2015 17:43,20-Feb-15,22-Mar-15,2327.9,2327.9,0.0,9
,Susan Chang,22-02-2015 16:15,22-Feb-15,24-Mar-15,180.33,180.33,0.0,80
,Melissa Kemp,23-02-2015 07:28,27-Feb-15,13-Mar-15,44161.98,44161.98,0.0,18
,Kyle Strickland,23-02-2015 10:07,20-Feb-15,22-Mar-15,64.8,64.8,0.0,59
,Lynn Davis,23-02-2015 10:25,23-Feb-15,31-Mar-15,556.38,556.38,0.0,52
,Brian Hudson,23-02-2015 11:18,22-Feb-15,24-Mar-15,144.67,144.67,0.0,1
,Jose Whitney,23-02-2015 13:28,23-Feb-15,25-Mar-15,4297.23,3438.18,859.05,15
,Hunter Hutchinson,23-02-2015 14:22,23-Feb-15,25-Mar-15,102.48,102.48,0.0,80
,Brian Patel,23-02-2015 16:13,23-Feb-15,28-Feb-15,1554.08,1554.08,0.0,32
,Donna Mendez,23-02-2015 16:42,23-Feb-15,25-Mar-15,726.9,726.9,0.0,32
,Patricia Smith,23-02-2015 22:47,22-Feb-15,23-Feb-15,68.86,66.98,1.88,1
delivery fees,Christy Freeman,24-02-2015 08:56,24-Feb-15,26-Mar-15,7.96,7.96,0.0,8
,Derek Huber,24-02-2015 10:36,24-Feb-15,26-Mar-15,133.8,133.8,0.0,91
Delivery charge,Christina Wilson,24-02-2015 11:23,24-Feb-15,26-Mar-15,355.93,355.93,0.0,20
,Heather Stuart,24-02-2015 11:23,06-Jan-15,05-Feb-15,56.98,56.98,0.0,56
,Matthew Calderon,24-02-2015 11:25,08-Jan-15,07-Feb-15,91.98,91.98,0.0,69
,Jeffery Sullivan,24-02-2015 11:39,14-Jan-15,13-Feb-15,221.98,221.98,0.0,63
,Katherine Gonzalez,24-02-2015 11:48,14-Jan-15,13-Feb-15,156.98,156.98,0.0,63
,Jerome Morris,24-02-2015 11:59,22-Jan-15,21-Feb-15,56.98,56.98,0.0,96
Storage ,Tina Orozco,24-02-2015 15:10,24-Feb-15,03-Mar-15,3388.94,3388.94,0.0,13
,William Smith,24-02-2015 15:20,24-Feb-15,26-Mar-15,1141.98,1141.98,0.0,49
,Brian Edwards,24-02-2015 17:44,01-Feb-15,03-Mar-15,1137.18,1137.18,0.0,117
,Jeremy Leon,24-02-2015 21:37,24-Feb-15,26-Mar-15,3152.09,3152.09,0.0,46
,Ms. Rebecca Drake MD,25-02-2015 11:06,25-Feb-15,27-Mar-15,301.98,301.98,0.0,5
,Ms. Rebecca Drake MD,25-02-2015 12:15,25-Feb-15,27-Mar-15,381.98,381.98,0.0,7
,Ms. Rebecca Drake MD,25-02-2015 13:27,25-Feb-15,27-Mar-15,301.98,301.98,0.0,5
,Diane Higgins,25-02-2015 14:22,16-Feb-15,16-Mar-15,133.98,133.98,0.0,39
,Diane Higgins,25-02-2015 14:40,19-Feb-15,19-Mar-15,337.98,337.98,0.0,26
,Diane Higgins,25-02-2015 14:45,16-Feb-15,16-Mar-15,229.98,229.98,0.0,39
,Diana Donaldson,25-02-2015 15:07,23-Feb-15,25-Mar-15,36.45,36.45,0.0,95
,Wesley Snyder,25-02-2015 15:27,23-Feb-15,25-Mar-15,50.96,50.96,0.0,46
,Pamela Brown,25-02-2015 15:30,23-Feb-15,25-Mar-15,67.18,67.18,0.0,66
,Debbie Brandt,26-02-2015 08:28,02-Mar-15,16-Apr-15,1265.58,1265.58,0.0,22
,Kathleen Jensen,26-02-2015 10:13,23-Feb-15,25-Mar-15,207.85,207.85,0.0,74
,Nicole Burns,26-02-2015 10:32,23-Feb-15,25-Mar-15,94.3,94.3,0.0,51
,Lance Scott,26-02-2015 10:42,26-Feb-15,28-Mar-15,622.38,114.78,507.6,11
,Courtney Fry,26-02-2015 10:45,24-Feb-15,26-Mar-15,175.14,175.14,0.0,55
,Ryan Kelly,26-02-2015 11:32,26-Feb-15,12-Mar-15,475.98,475.98,0.0,11
,Timothy Curtis,26-02-2015 14:41,26-Feb-15,28-Mar-15,1681.98,1681.98,0.0,53
,Jessica Johnston,26-02-2015 15:23,26-Feb-15,28-Mar-15,244.33,244.33,0.0,68
,Matthew Perkins,26-02-2015 17:27,25-Feb-15,27-Mar-15,92.54,92.54,0.0,44
,Dustin Brandt,27-02-2015 09:55,27-Feb-15,29-Mar-15,26.98,26.98,0.0,5
,Ashley Rose,27-02-2015 10:41,27-Feb-15,06-Mar-15,33.78,33.78,0.0,61
,Ronnie Rodriguez,27-02-2015 11:05,17-Feb-15,03-Apr-15,145.98,145.98,0.0,49
,Christina Goodwin,27-02-2015 11:08,17-Feb-15,19-Mar-15,271.98,271.98,0.0,49
Studio heating,Tyler James,27-02-2015 11:12,17-Feb-15,19-Mar-15,114.46,114.46,0.0,52
,Justin Knight,27-02-2015 11:36,20-Feb-15,22-Mar-15,36.98,36.98,0.0,46
,Keith Peterson,27-02-2015 13:19,26-Feb-15,28-Mar-15,27.57,27.57,0.0,22
,Pamela Brown,27-02-2015 13:47,26-Feb-15,28-Mar-15,93.08,93.08,0.0,63
,Sharon Reynolds,27-02-2015 13:58,26-Feb-15,28-Mar-15,72.1,72.1,0.0,106
PR Marketing Services for - MAY 17,Jessica Ramsey,27-02-2015 14:42,27-Feb-15,29-Mar-15,23009.43,23009.43,0.0,17
AX bill,Diane Higgins,27-02-2015 14:58,10-Feb-15,10-Mar-15,5.34,5.34,0.0,43
,Juan Ellis,27-02-2015 16:13,27-Feb-15,06-Mar-15,566.24,566.24,0.0,32
,Melanie Chaney,27-02-2015 16:16,27-Feb-15,06-Mar-15,1488.05,1488.05,0.0,32
,Donald Williams,27-02-2015 16:55,26-Feb-15,28-Mar-15,241.98,241.98,0.0,43
,Jennifer Sanchez,27-02-2015 17:00,27-Feb-15,29-Mar-15,56.57,56.57,0.0,91
,Robert Bryant,28-02-2015 11:09,28-Feb-15,30-Mar-15,36.98,36.98,0.0,4
Myfonts,Paul Norman,01-03-2015 12:15,01-Mar-15,31-Mar-15,19.97,19.97,0.0,20
,Stephanie Nelson,02-03-2015 07:26,27-Feb-15,29-Mar-15,661.98,661.98,0.0,108
,Taylor Hughes,02-03-2015 07:31,28-Feb-15,30-Mar-15,661.98,661.98,0.0,107
,Derek Huber,02-03-2015 10:56,02-Mar-15,01-Apr-15,197.28,170.88,26.4,104
,Lisa Gardner,02-03-2015 11:37,02-Mar-15,01-Apr-15,2501.98,2501.98,0.0,14
,Jennifer Sherman,02-03-2015 11:53,26-Feb-15,12-Mar-15,325.98,325.98,0.0,100
,Aaron Parks,02-03-2015 11:54,17-Feb-15,03-Mar-15,303.74,303.74,0.0,13
,Anthony Green,02-03-2015 11:54,25-Feb-15,11-Mar-15,181.98,181.98,0.0,12
,Donald Williams,02-03-2015 12:04,02-Mar-15,01-Apr-15,1408.88,1408.88,0.0,44
,Robert Allen,02-03-2015 12:33,28-Feb-15,30-Mar-15,925.98,925.98,0.0,19
,Adrian Williams,02-03-2015 14:15,28-Feb-15,30-Mar-15,587.14,587.14,0.0,44
,Rachel Serrano,02-03-2015 16:26,02-Mar-15,01-Apr-15,51.98,51.98,0.0,2
,Erin Edwards,02-03-2015 17:01,02-Mar-15,16-Mar-15,513.18,513.18,0.0,28
,Ronnie Rodriguez,03-03-2015 09:03,24-Feb-15,10-Apr-15,235.98,235.98,0.0,44
Annual Fee,Kathryn Lee,03-03-2015 09:11,24-Feb-15,26-Mar-15,10.98,10.98,0.0,13
,Christina Lopez,03-03-2015 09:30,03-Mar-15,10-Mar-15,1330.25,1330.25,0.0,14
,Holly Young,03-03-2015 09:38,06-Dec-14,13-Dec-14,170.98,170.98,0.0,87
,Michelle Quinn,03-03-2015 09:49,08-Dec-14,15-Dec-14,170.98,170.98,0.0,85
,Kristen Barr,03-03-2015 09:55,03-Mar-15,17-Mar-15,253.98,253.98,0.0,97
,Brandon Carr,03-03-2015 10:27,03-Mar-15,17-Mar-15,196.38,196.38,0.0,1
Studio heating,Judy Bentley,03-03-2015 11:11,26-Feb-15,28-Mar-15,109.98,109.98,0.0,26
,Stephanie Kelley,03-03-2015 12:23,03-Mar-15,02-Apr-15,1483.98,1483.98,0.0,36
,Cynthia Miller,03-03-2015 13:47,02-Mar-15,01-Apr-15,31.97,31.97,0.0,67
,Wesley Snyder,03-03-2015 13:52,02-Mar-15,01-Apr-15,84.4,84.4,0.0,67
,Katherine Smith,03-03-2015 14:10,02-Mar-15,01-Apr-15,106.98,106.74,0.24,49
,Katherine Smith,03-03-2015 14:10,02-Mar-15,01-Apr-15,106.98,2.22,104.76,25
,Tonya Patel,03-03-2015 14:13,02-Mar-15,01-Apr-15,42.68,42.67,0.01,56
,Robert Roberts,03-03-2015 14:37,22-Dec-14,29-Dec-14,170.98,170.98,0.0,71
,Wesley Snyder,03-03-2015 15:02,02-Mar-15,01-Apr-15,51.38,51.38,0.0,67
Adobe credit,Alexis Parks,03-03-2015 15:50,31-Dec-14,30-Jan-15,1241.98,1241.98,0.0,83
Refund for graduation trip ,Alexis Parks,03-03-2015 15:51,31-Jan-15,02-Mar-15,1241.98,1241.98,0.0,52
,Diane Higgins,03-03-2015 17:13,20-Feb-15,20-Mar-15,229.98,229.98,0.0,35
,Ashley Dawson,03-03-2015 22:18,18-Mar-15,25-Mar-15,1218.78,1218.78,0.0,5
,Thomas Dominguez,04-03-2015 10:34,27-Feb-15,29-Mar-15,81.98,81.98,0.0,51
,Lacey Allen MD,04-03-2015 10:37,04-Mar-15,11-Mar-15,30.38,30.38,0.0,49
,Michael Pittman,04-03-2015 11:39,27-Feb-15,29-Mar-15,5881.98,5881.98,0.0,68
,Michael Pittman,04-03-2015 11:40,04-Mar-15,27-Mar-15,561.98,561.98,0.0,105
,Diane Higgins,04-03-2015 12:45,18-Feb-15,18-Mar-15,229.98,229.98,0.0,37
,Randy Goodwin,04-03-2015 13:16,19-Jan-15,26-Jan-15,170.98,170.98,0.0,44
,Nathan Rocha,04-03-2015 14:56,03-Mar-15,02-Apr-15,58.18,58.18,0.0,87
,Mr. Shane Serrano,04-03-2015 15:09,03-Mar-15,02-Apr-15,55.17,55.17,0.0,55
,Bruce Clements,04-03-2015 16:10,04-Mar-15,18-Mar-15,381.18,381.18,0.0,19
,Charles Coleman,04-03-2015 19:37,04-Mar-15,03-Apr-15,152.58,152.58,0.0,30
,Justin Stewart,04-03-2015 19:52,04-Mar-15,03-Apr-15,4679.73,4679.73,0.0,1
,Eric Phillips,04-03-2015 20:19,01-Mar-15,20-Mar-15,145.43,145.43,0.0,51
,Mark Soto,04-03-2015 21:16,04-Mar-15,03-Apr-15,784.38,784.38,0.0,56
,Matthew Taylor,04-03-2015 21:34,04-Mar-15,03-Apr-15,1399.98,1399.98,0.0,56
,Christopher Ballard,04-03-2015 22:36,02-Mar-15,30-Mar-15,127.55,127.55,0.0,9
,Briana Williams,05-03-2015 03:07,04-Mar-15,03-Apr-15,1723.18,1723.18,0.0,9
,Julie Martin,05-03-2015 03:09,28-Feb-15,30-Mar-15,214.02,214.02,0.0,61
,Lauren Gonzalez,05-03-2015 03:13,28-Feb-15,30-Mar-15,1021.38,1021.38,0.0,52
,Anthony Russell,05-03-2015 10:00,17-Feb-15,24-Feb-15,500.98,500.98,0.0,16
Food for foyer,Keith Peterson,05-03-2015 13:09,04-Mar-15,03-Apr-15,15.05,15.05,0.0,57
,Kenneth Brown,05-03-2015 13:13,04-Mar-15,03-Apr-15,84.33,2.14,82.19,23
,Richard Rhodes,05-03-2015 13:14,04-Mar-15,03-Apr-15,49.89,49.89,0.0,47
,Nathan Rocha,05-03-2015 13:21,04-Mar-15,03-Apr-15,73.62,73.62,0.0,86
,Matthew Jones,05-03-2015 13:31,04-Mar-15,03-Apr-15,60.84,60.84,0.0,114
,Susan Hart,05-03-2015 14:16,27-Feb-15,06-Mar-15,400.98,400.98,0.0,6
,Kristen Scott,05-03-2015 20:18,02-Mar-15,08-Mar-15,90.42,90.42,0.0,21
,Tiffany Haynes,05-03-2015 20:57,05-Mar-15,04-Apr-15,1555.98,1555.98,0.0,21
,Anthony Ryan,06-03-2015 09:03,05-Mar-15,04-Apr-15,40.5,2.07,38.43,15
,Amber Mckinney,06-03-2015 09:23,05-Mar-15,04-Apr-15,82.44,82.44,0.0,53
,Anthony Holloway,06-03-2015 09:42,06-Mar-15,05-Apr-15,7201.98,7201.98,0.0,112
,Andrew Boyd,06-03-2015 09:57,05-Mar-15,04-Apr-15,57.88,57.88,0.0,61
,Jerry Cox,06-03-2015 10:15,05-Mar-15,04-Apr-15,75.4,75.21,0.19,67
,Maria Harvey,06-03-2015 10:53,05-Mar-15,04-Apr-15,74.58,74.58,0.0,74
,Nathan Rocha,06-03-2015 11:37,05-Mar-15,04-Apr-15,101.42,101.42,0.0,85
,Andrew Stewart,06-03-2015 11:38,05-Mar-15,04-Apr-15,72.03,72.03,0.0,56
,Pamela Brown,06-03-2015 11:46,05-Mar-15,04-Apr-15,67.18,67.18,0.0,67
,Maxwell Thomas,08-03-2015 15:47,08-Mar-15,07-Apr-15,81.93,81.93,0.0,66
Cleaning products,Nathan Rocha,09-03-2015 09:27,06-Mar-15,05-Apr-15,16.98,16.98,0.0,84
,Daniel Allen,09-03-2015 11:09,09-Mar-15,23-Mar-15,2650.52,2650.52,0.0,14
,Ms. Rebecca Drake MD,09-03-2015 13:29,09-Mar-15,08-Apr-15,301.98,301.98,0.0,8
,Katherine Gill,09-03-2015 14:19,09-Mar-15,08-Apr-15,1149.9,1149.9,0.0,92
,William Willis,09-03-2015 14:25,09-Mar-15,08-Apr-15,2875.98,2875.98,0.0,65
Bank Charges 10th April to 9th May 2016,Luis Jackson,09-03-2015 15:24,09-Mar-15,08-Apr-15,400.79,400.79,0.0,4
,William Jackson,10-03-2015 11:33,10-Mar-15,09-Apr-15,169.98,169.98,0.0,96
,William Jackson,10-03-2015 11:55,10-Mar-15,09-Apr-15,169.98,169.98,0.0,96
,Marcus Maddox,10-03-2015 11:56,01-Mar-15,28-Mar-15,269.1,269.1,0.0,29
,William Jackson,10-03-2015 12:32,10-Mar-15,09-Apr-15,136.61,136.61,0.0,96
,Denise Campos,10-03-2015 13:33,01-Mar-15,28-Mar-15,145.51,145.51,0.0,29
,Jennifer Calderon,10-03-2015 15:19,09-Mar-15,08-Apr-15,61.08,61.08,0.0,60
,Joseph Thompson,10-03-2015 15:33,10-Mar-15,24-Mar-15,55.98,55.98,0.0,2
,Jordan Gilbert,10-03-2015 18:30,04-Mar-15,03-Apr-15,239.98,239.98,0.0,6
,Jim Scott,10-03-2015 20:49,24-Jan-15,30-Jan-15,132.28,132.28,0.0,51
,Eddie Frazier,10-03-2015 20:55,09-Mar-15,16-Mar-15,50.64,50.64,0.0,35
,Michael Soto,11-03-2015 06:35,27-Feb-15,13-Mar-15,8465.99,8465.99,0.0,27
,Mark Soto,11-03-2015 08:33,11-Mar-15,10-Apr-15,839.58,839.58,0.0,49
,Katherine Gill,11-03-2015 10:23,11-Mar-15,10-Apr-15,286.38,286.38,0.0,90
,Randall Smith,11-03-2015 11:57,06-Mar-15,05-Apr-15,219.18,219.18,0.0,5
,Brittany Flores,11-03-2015 12:11,09-Mar-15,08-Apr-15,343.98,343.98,0.0,2
,Diane Higgins,11-03-2015 12:42,02-Mar-15,30-Mar-15,133.98,133.98,0.0,51
,Diane Higgins,11-03-2015 13:07,06-Mar-15,03-Apr-15,937.98,937.98,0.0,47
,Jerry Bennett,11-03-2015 13:10,11-Mar-15,10-Apr-15,709.98,709.98,0.0,21
,Matthew Perkins,11-03-2015 14:34,09-Mar-15,08-Apr-15,46.87,46.87,0.0,70
,Katherine Smith,11-03-2015 14:48,09-Mar-15,08-Apr-15,123.63,123.63,0.0,42
,Wesley Snyder,11-03-2015 14:52,09-Mar-15,08-Apr-15,61.51,61.51,0.0,60
,Nathan Rocha,11-03-2015 15:13,10-Mar-15,09-Apr-15,37.98,37.98,0.0,80
,Ashley Smith,11-03-2015 15:30,10-Mar-15,09-Apr-15,67.89,67.89,0.0,69
Office rent 01.06.17 to 12.6.17,David Martin,11-03-2015 15:51,11-Mar-15,10-Apr-15,376.38,376.38,0.0,5
,David Valentine,12-03-2015 13:19,11-Mar-15,10-Apr-15,69.36,69.36,0.0,117
,Vicki Ortiz,12-03-2015 14:02,12-Mar-15,11-Apr-15,197.88,197.88,0.0,94
,Thomas Mccormick,12-03-2015 14:11,18-Feb-15,04-Mar-15,52.05,52.05,0.0,50
,Nathan Rocha,12-03-2015 14:33,11-Mar-15,10-Apr-15,33.39,33.39,0.0,79
,David Cox,12-03-2015 15:16,12-Mar-15,19-Mar-15,222.15,222.15,0.0,51
,Nathan Rocha,12-03-2015 16:33,11-Mar-15,10-Apr-15,39.24,39.24,0.0,79
,Ana Proctor,13-03-2015 05:41,13-Mar-15,12-Apr-15,1185.66,1185.66,0.0,15
,Ryan Reyes,13-03-2015 07:03,07-Mar-15,06-Apr-15,25.98,25.98,0.0,6
,Courtney Reynolds,13-03-2015 09:38,12-Mar-15,11-Apr-15,51.51,51.51,0.0,46
PR Services for May 2016,Jeffrey Chavez,13-03-2015 09:42,13-Mar-15,08-May-15,1518.28,1098.28,420.0,44
PR Marketing Services for - FEB 17,David Martin,13-03-2015 09:55,13-Mar-15,12-Apr-15,1641.08,1641.08,0.0,3
,Wesley Snyder,13-03-2015 10:03,12-Mar-15,11-Apr-15,77.2,77.2,0.0,57
,Rodney Campbell,13-03-2015 11:17,13-Mar-15,12-Apr-15,338.09,315.54,22.55,77
,Daniel Jones,13-03-2015 12:02,13-Mar-15,12-Apr-15,93.33,93.33,0.0,16
PR Marketing Services for - Jan 17,David Martin,13-03-2015 12:24,13-Mar-15,12-Apr-15,2750.91,2750.91,0.0,3
,Vicki Ortiz,13-03-2015 14:40,13-Mar-15,12-Apr-15,159.48,159.48,0.0,28
,Lynn Mcdonald,13-03-2015 15:53,12-Mar-15,26-Mar-15,253.98,253.98,0.0,1
,Mr. Ernest Chan MD,13-03-2015 17:22,13-Mar-15,20-Mar-15,130.38,130.38,0.0,86
,Michael Bell,13-03-2015 17:30,13-Mar-15,27-Mar-15,1951.98,1951.98,0.0,39
PR Marketing Services for - JUNE 17,David Martin,13-03-2015 18:48,13-Mar-15,12-Apr-15,1658.03,1658.03,0.0,3
,Taylor Lawson,13-03-2015 22:36,28-Jan-15,29-Jan-15,1254.18,1001.98,252.2,45
,Travis Thompson,14-03-2015 11:06,14-Mar-15,21-Mar-15,451.98,451.98,0.0,65
,Dustin Brandt,14-03-2015 13:13,14-Mar-15,13-Apr-15,24.48,24.48,0.0,3
,William Fisher,15-03-2015 09:59,15-Mar-15,22-Mar-15,34.98,34.98,0.0,2
,Thomas Dominguez,16-03-2015 08:44,12-Mar-15,11-Apr-15,73.98,73.98,0.0,44
,Robert Hancock,16-03-2015 09:02,13-Mar-15,12-Apr-15,60.88,60.88,0.0,48
,Nathan Rocha,16-03-2015 09:30,13-Mar-15,12-Apr-15,33.46,33.46,0.0,77
,Nathan Rocha,16-03-2015 09:35,13-Mar-15,12-Apr-15,43.04,43.04,0.0,77
,Christopher Richards,16-03-2015 09:38,13-Mar-15,12-Apr-15,74.9,74.9,0.0,48
Studio heating,Cameron Ball,16-03-2015 10:12,12-Mar-15,11-Apr-15,113.84,113.84,0.0,78
,Katherine Smith,16-03-2015 10:12,12-Mar-15,11-Apr-15,94.74,94.74,0.0,39
Food for young people,Todd Knight,16-03-2015 10:21,24-Feb-15,26-Mar-15,2875.98,2875.98,0.0,78
Printer paper,Jacob Williams,16-03-2015 10:25,28-Feb-15,30-Mar-15,1801.98,1801.98,0.0,60
Parking for university,Jane Glenn,16-03-2015 10:27,28-Feb-15,30-Mar-15,685.98,685.98,0.0,60
Bank charge refund,Alexis Parks,16-03-2015 10:31,28-Feb-15,30-Mar-15,2041.98,92.63,1949.35,24
,Jerry Cox,16-03-2015 10:58,12-Mar-15,11-Apr-15,108.8,108.8,0.0,60
,Vicki Ortiz,16-03-2015 11:19,16-Mar-15,15-Apr-15,610.38,610.38,0.0,90
